_id,objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
2752,13,13,42,003,563100,2,420035631002,Block Group 2,G5030,S,880129,0,+40.4320100,-080.0530374,14820.1491893,12,19295586,198927.41614216,66,2148,Westwood,89,441.88379972,0.69044344,5,6,4,20939.3851045,19295586.8644,15,Thomas Scharff,fe33ba7b-19fb-4d21-8600-5b4c71dbe539,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:03:12,,19248456.9427185,20974.2619221019
2753,14,104,42,003,101400,4,420031014004,Block Group 4,G5030,S,149377,0,+40.4799173,-079.9300799,6038.17837146,44,10650824,136797.97928478,6,2088,Morningside,52,239.74901281,0.37460783,2,6,12,27033.4541634,10650824.4307,15,Keith Portugal,a9ac885b-095f-4467-a3e3-0938fc05904b,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:40,,10443017.3531494,27083.5665059078
2754,15,246,42,003,310200,4,420033102004,Block Group 4,G5030,S,1047140,0,+40.3745282,-079.9191876,15834.1152842,73,27425090,87456.39013128,95,2177,Lincoln Place,46,628.18080526,0.98153251,4,113,8,27507.9002534,27425088.795,15,Thomas Scharff,8edc0195-2966-4556-a5fd-706c320c0280,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:28,,27363555.8044739,27517.0462680989
2755,16,0, , , , , , , , ,0,0, , ,0,1292,,80995.80627227,0,0,Perry North,61,774.34430822,1.20991298,0,0,2,0,0,15,Stephanie Joy Everett,529dca14-f7c2-4e38-8e1e-dee1b31426c2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:57:28,,33730447.8752441,30985.3760423236
2756,17,11,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,13757.3320259,10,8739570,80995.80627227,10,2092,Northview Heights,58,200.83016634,0.31379713,1,113,1,13813.6375352,8739570.2277,15,Stephanie Joy Everett,afe5a435-c059-49b4-9736-5a284501ab5d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:53,,8748161.90447998,13861.1428619157
2757,18,292,42,003,130200,2,420031302002,Block Group 2,G5030,S,186305,0,+40.4594767,-079.8955903,5810.23622423,76,12103512,136797.97928478,33,2115,Homewood North,41,276.8346875,0.4325542,2,57,11,16962.0116448,12103511.7943,15,Adriana Bowman,ae461c62-e950-43e0-b2a1-7cef98be5aee,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:13,,12058922.2020264,16958.7623494803
2758,19,202,42,003,561600,1,420035616001,Block Group 1,G5030,S,294192,0,+40.4168800,-079.9615214,10586.5307517,65,3667921.5,198927.41614216,83,2165,Arlington Heights,5,81.42957212,0.12723371,4,113,7,10585.5381722,3667921.40983,15,Thomas Scharff,12942113-8e97-4056-a9aa-2153476c947d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:35,,3547057.10522461,10500.1158167926
2759,20,72,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,10355.0742837,32,11984375,136797.97928478,20,2102,Lower Lawrenceville,48,275.16424871,0.42994414,2,19,13,15396.9649665,11984374.8838,15,Alex Peppers AICP,767995c6-6930-40f5-9013-709a90b5238d,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:30,,11986162.2961426,15430.5195841227
2760,21,114,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,5462.85309992,45,12407882,136797.97928478,23,2105,Larimer,45,284.9177058,0.44518392,2,21,12,15726.185821,12407881.2955,15,Keith Portugal,6d679b4d-248d-4c31-b0db-7bc6178a2902,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:23,,12411015.2523193,15722.2913366182
2761,22,35,42,003,980000,1,420039800001,Block Group 1,G5030,S,637235,237268,+40.4875790,-079.8907469,13581.8750903,21,7809355.5,136797.97928478,5,2087,Lincoln-Lemington-Belmar,47,1163.58474507,1.81810116,2,24,11,13582.9721502,7809355.83398,15,Adriana Bowman,c63ba635-c98b-4972-b27a-7202f727a438,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:25,,50685743.3460083,41773.1320463248
2762,23,25,42,003,010300,2,420030103002,Block Group 2,G5030,S,267511,0,+40.4369004,-079.9903987,6834.80662477,18,9127700,136797.97928478,67,2149,Bluff,11,208.16719001,0.32526123,3,57,15,15723.1745834,9127699.90244,15,Ose Akinlotan,4be74de1-0d1d-4eb4-bd28-1a3ed6082592,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:51,,9067791.77963257,15577.3989346264
2763,24,340,42,003,563000,1,420035630001,Block Group 1,G5030,S,2520263,0,+40.4507815,-080.0847808,26392.7256493,86,27002274,198927.41614216,37,2119,Fairywood,32,620.53813973,0.96959084,5,21,4,26410.7383239,27002274.2666,15,Thomas Scharff,8ea999f0-868e-44ff-bd8f-1ccc3ee8b099,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:48,,27030406.3829346,26626.832925191
2764,25,102,42,003,191700,1,420031917001,Block Group 1,G5030,S,1471688,0,+40.4043578,-080.0109294,24549.4301741,43,58044672,198927.41614216,89,2171,Brookline,14,1336.91504781,2.08892976,4,81,5,37257.9301961,58044672.6034,15,Thomas Scharff,6a1e43de-4528-43e2-bb4e-87e430db5f05,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:58,,58236019.5553589,37705.427740907
